"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0600000US2500100000","County subdivisions not defined, Barnstable County, Massachusetts","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","12","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)"
"0600000US2500103690","Barnstable Town city, Barnstable County, Massachusetts","18796","520","3.9","1.0","3.9","0.9","6.4","1.3","7.7","1.4","9.0","1.4","20.4","1.9","12.9","1.8","19.9","1.9","6.6","1.1","9.3","1.2","72733","3434","100447","4888","40.0","(X)","(X)","(X)","(X)","(X)","11843","399","2.7","1.2","2.3","1.1","2.4","0.9","5.5","1.3","9.0","2.0","18.5","2.4","13.3","2.0","24.0","2.4","10.0","1.7","12.3","1.7","90474","7059","120422","6858","(X)","(X)","41.8","(X)","(X)","(X)","9216","377","1.1","0.7","2.0","1.2","1.9","0.8","3.8","1.2","6.9","2.0","18.8","2.7","13.9","2.3","25.1","2.8","12.0","2.1","14.4","2.2","102725","5303","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6953","492","7.4","1.9","7.4","2.1","13.3","3.3","12.1","2.8","9.8","2.5","20.9","3.7","13.6","2.9","11.3","2.5","1.9","0.9","2.4","1.0","50017","8138","60648","4193","(X)","(X)","(X)","(X)","35.0","(X)"
"0600000US2500107175","Bourne town, Barnstable County, Massachusetts","8611","334","2.1","0.8","2.4","1.2","5.3","1.5","9.6","2.2","11.8","2.6","18.5","3.2","14.2","2.6","19.5","3.1","8.6","2.0","8.0","1.7","75534","5993","97791","8220","37.3","(X)","(X)","(X)","(X)","(X)","5125","267","1.7","1.3","0.7","0.6","2.6","1.1","4.1","1.6","9.0","2.9","16.5","4.1","17.1","3.6","25.3","3.6","11.8","3.1","11.4","2.6","96236","8431","114459","7051","(X)","(X)","37.4","(X)","(X)","(X)","4153","308","0.3","0.5","0.7","0.7","0.8","0.6","3.9","1.8","8.4","3.1","15.5","4.7","15.9","3.9","27.5","4.2","14.0","3.6","13.0","3.0","106179","6714","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3486","410","4.5","1.9","4.9","2.6","10.4","3.3","17.2","4.5","15.0","4.7","22.6","5.7","10.9","4.2","9.2","4.0","2.3","1.6","3.1","2.3","45345","11201","68977","17857","(X)","(X)","(X)","(X)","36.2","(X)"
"0600000US2500107980","Brewster town, Barnstable County, Massachusetts","4198","220","3.3","1.7","1.8","1.4","7.2","3.3","6.5","3.0","11.5","3.9","19.6","5.2","14.7","4.2","14.0","3.5","9.1","3.2","12.4","3.8","75321","8705","104737","11085","28.7","(X)","(X)","(X)","(X)","(X)","2815","195","1.9","1.9","1.1","1.6","1.3","1.8","6.1","4.0","8.1","4.2","21.2","6.8","18.5","5.3","16.5","4.4","11.4","4.1","13.7","4.4","87643","6181","118857","13362","(X)","(X)","28.8","(X)","(X)","(X)","2547","192","2.1","2.1","0.0","1.4","0.5","0.8","4.8","3.5","8.8","4.3","20.3","6.7","18.3","5.5","17.9","4.8","12.6","4.5","14.7","4.9","90750","9642","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1383","253","6.1","3.3","3.0","2.6","19.0","8.7","9.2","5.2","18.7","7.2","16.1","6.8","5.0","3.7","9.9","5.2","4.4","5.7","8.6","7.0","46495","10381","73172","19192","(X)","(X)","(X)","(X)","27.5","(X)"
"0600000US2500112995","Chatham town, Barnstable County, Massachusetts","2894","136","6.0","2.2","2.2","1.2","6.0","3.2","7.6","2.5","10.5","2.8","14.1","3.7","12.0","3.3","21.9","3.9","8.5","3.5","11.2","2.6","83839","12963","115320","13887","36.7","(X)","(X)","(X)","(X)","(X)","1768","123","2.2","1.8","0.0","2.0","2.4","2.9","3.9","2.6","8.3","3.3","15.0","5.2","14.8","4.1","26.6","5.3","12.0","5.1","14.8","3.9","106250","12749","143509","19724","(X)","(X)","42.3","(X)","(X)","(X)","1590","124","1.1","1.2","0.0","2.2","0.8","1.3","2.9","2.1","7.7","3.2","13.5","5.3","15.8","4.5","29.1","5.9","12.7","5.5","16.4","4.2","115809","11864","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1126","198","11.9","4.9","5.7","3.2","11.7","5.9","13.5","5.1","14.8","5.8","14.0","5.6","6.4","4.5","14.0","6.6","2.2","3.1","5.7","3.3","39063","7319","69117","15468","(X)","(X)","(X)","(X)","27.9","(X)"
"0600000US2500116775","Dennis town, Barnstable County, Massachusetts","6862","262","4.8","1.5","3.6","1.3","8.2","1.9","10.6","2.9","12.4","2.3","15.8","2.6","15.5","2.5","14.9","2.1","6.8","1.7","7.4","1.9","65616","5996","88878","6638","31.3","(X)","(X)","(X)","(X)","(X)","4048","158","3.6","2.0","1.3","0.9","3.8","1.8","7.7","3.1","10.7","3.4","14.4","3.0","19.1","4.1","20.0","3.3","8.5","2.4","10.8","2.9","87544","8223","110015","10056","(X)","(X)","32.4","(X)","(X)","(X)","3130","213","1.7","1.4","0.8","0.8","2.0","1.2","4.5","2.0","10.0","3.4","13.1","2.9","22.5","4.8","23.7","3.5","9.3","2.8","12.4","3.2","96303","3915","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2814","276","7.6","2.5","7.1","2.8","15.2","4.3","15.2","4.9","15.0","3.5","17.3","4.1","10.3","3.1","7.0","2.3","3.4","1.7","1.8","1.2","38333","5351","54248","4479","(X)","(X)","(X)","(X)","28.0","(X)"
"0600000US2500119295","Eastham town, Barnstable County, Massachusetts","2396","147","4.0","2.9","3.5","2.5","7.3","3.7","7.1","4.1","13.2","4.7","17.1","5.4","18.2","5.6","13.7","3.6","8.6","3.7","7.3","2.8","72075","9348","94597","12081","34.9","(X)","(X)","(X)","(X)","(X)","1523","124","1.3","1.3","2.6","2.4","4.3","3.8","2.2","2.7","8.9","4.3","19.1","6.8","22.3","8.0","18.2","5.2","11.6","4.8","9.5","4.0","88950","11860","114336","16358","(X)","(X)","34.8","(X)","(X)","(X)","1294","127","1.5","1.6","0.0","2.7","2.9","2.9","0.9","1.5","8.3","5.3","19.2","7.5","23.8","8.6","21.4","5.9","13.1","5.5","8.9","4.4","94630","8313","N","N","(X)","(X)","(X)","(X)","(X)","(X)","873","196","8.8","7.4","5.0","5.6","12.6","7.0","15.7","10.0","20.6","10.0","15.3","7.8","11.1","7.7","4.1","3.0","3.2","3.2","3.4","3.0","38798","6536","59282","12601","(X)","(X)","(X)","(X)","35.1","(X)"
"0600000US2500123105","Falmouth town, Barnstable County, Massachusetts","13821","431","3.1","1.0","3.4","0.9","8.5","1.4","7.6","1.6","12.1","1.7","14.8","2.1","14.7","2.3","15.5","1.7","10.4","1.6","10.1","1.7","75820","3764","107276","7772","38.0","(X)","(X)","(X)","(X)","(X)","8468","328","1.7","1.2","0.9","0.5","2.7","0.9","7.2","2.1","9.2","2.1","14.8","2.7","15.5","2.5","20.0","2.6","14.5","2.4","13.6","2.4","96866","4888","133355","11280","(X)","(X)","39.1","(X)","(X)","(X)","6841","324","0.5","0.4","0.7","0.5","1.3","0.7","5.1","1.8","7.9","2.2","13.5","2.9","15.3","2.7","21.9","3.2","17.7","2.9","16.1","2.8","109798","7218","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5353","395","5.5","2.1","7.3","2.2","17.6","3.4","9.0","2.5","17.8","3.2","15.8","3.4","11.3","3.5","7.7","1.9","3.6","1.5","4.4","1.9","42493","3693","63746","6349","(X)","(X)","(X)","(X)","35.8","(X)"
"0600000US2500129020","Harwich town, Barnstable County, Massachusetts","5433","223","4.3","2.2","3.9","1.8","8.4","2.1","8.4","2.7","8.6","2.3","15.3","2.7","16.2","4.2","21.0","4.5","7.3","2.0","6.6","1.8","76822","6267","90494","6134","32.8","(X)","(X)","(X)","(X)","(X)","3441","199","1.5","2.4","2.0","1.8","3.3","1.7","6.8","3.1","6.9","2.6","16.8","3.7","16.9","4.1","26.4","5.6","10.3","3.1","9.2","2.9","92011","10587","110731","9294","(X)","(X)","34.7","(X)","(X)","(X)","2689","205","0.0","1.3","0.0","1.3","3.8","2.1","6.2","3.4","6.7","2.8","16.3","4.0","14.5","3.7","28.3","6.1","12.8","3.7","11.4","3.5","102600","5242","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1992","276","9.0","4.4","8.1","3.8","17.2","4.2","11.1","4.2","11.6","3.7","13.2","4.3","16.5","8.5","10.5","5.2","1.1","1.3","1.6","1.1","42364","9090","53191","5622","(X)","(X)","(X)","(X)","28.9","(X)"
