"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0600000US2500100000","County subdivisions not defined, Barnstable County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500103690","Barnstable Town city, Barnstable County, Massachusetts","44406","31","41770","599","37453","755","2503","515","122","98","408","191","54","167","464","184","766","312","97","72","669","298","2636","599","2399","614","62","68","33","54","0","26","0","26","93","92","49","59","35","41","14","23"
"0600000US2500107175","Bourne town, Barnstable County, Massachusetts","19831","28","19054","399","18020","559","180","102","38","62","195","150","0","19","193","191","428","269","20","32","408","264","777","399","353","114","10","16","13","31","58","84","0","19","73","71","270","370","270","370","0","19"
"0600000US2500107980","Brewster town, Barnstable County, Massachusetts","9837","21","9621","147","9316","186","89","96","0","17","57","65","0","17","0","17","159","97","0","17","159","97","216","146","177","135","5","8","0","17","0","17","34","51","0","17","0","17","0","17","0","17"
"0600000US2500112995","Chatham town, Barnstable County, Massachusetts","6019","19","5883","142","5692","174","111","93","0","17","19","29","0","17","0","17","61","63","0","17","61","63","136","141","107","133","29","40","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"0600000US2500116775","Dennis town, Barnstable County, Massachusetts","13939","24","13642","244","12655","337","554","241","84","100","133","109","9","15","42","39","165","103","25","37","140","93","297","243","222","233","0","19","0","19","0","19","0","19","75","106","0","19","0","19","0","19"
"0600000US2500119295","Eastham town, Barnstable County, Massachusetts","4901","29","4858","55","4485","199","83","90","23","34","151","129","0","12","48","60","68","69","0","12","68","69","43","44","43","44","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500123105","Falmouth town, Barnstable County, Massachusetts","31124","30","30341","376","27652","621","615","299","183","161","572","354","0","26","445","272","874","304","95","67","779","298","783","376","683","363","5","8","29","35","0","26","0","26","7","10","59","64","0","26","59","64"
"0600000US2500129020","Harwich town, Barnstable County, Massachusetts","12147","18","11875","125","11145","291","377","193","0","19","52","48","12","18","175","130","114","71","0","19","114","71","272","122","202","107","6","10","0","19","0","19","0","19","0","19","64","69","20","32","44","45"
"0600000US2500139100","Mashpee town, Barnstable County, Massachusetts","14148","51","14060","73","12128","370","456","239","699","224","316","201","0","19","140","115","321","147","50","68","271","145","88","56","67","50","0","19","21","30","0","19","0","19","0","19","0","19","0","19","0","19"
"0600000US2500151440","Orleans town, Barnstable County, Massachusetts","5808","23","5699","91","5423","211","210","189","0","17","66","75","0","17","0","17","0","17","0","17","0","17","109","89","34","27","0","17","0","17","0","17","0","17","37","59","38","61","38","61","0","17"
"0600000US2500155500","Provincetown town, Barnstable County, Massachusetts","2973","26","2849","85","2662","114","57","60","0","12","35","22","0","12","0","12","95","51","0","12","95","51","124","78","56","37","0","12","0","12","0","12","0","12","44","66","24","26","0","12","24","26"
"0600000US2500159735","Sandwich town, Barnstable County, Massachusetts","20286","27","19850","256","18862","429","201","251","38","63","322","262","0","23","246","291","181","125","0","23","181","125","436","251","419","250","0","23","0","23","0","23","0","23","0","23","17","24","0","23","17","24"
"0600000US2500170605","Truro town, Barnstable County, Massachusetts","1122","275","1105","275","1066","265","38","54","0","12","0","12","0","12","0","12","1","2","0","12","1","2","17","27","17","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500174385","Wellfleet town, Barnstable County, Massachusetts","3617","275","3573","271","3226","289","70","60","0","12","120","93","0","12","35","42","122","133","0","12","122","133","44","49","44","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500182525","Yarmouth town, Barnstable County, Massachusetts","23338","23","22700","279","20808","461","549","290","30","40","678","294","0","23","63","54","572","236","67","74","505","215","638","277","253","111","0","23","0","23","0","23","0","23","385","282","0","23","0","23","0","23"
"0600000US2500300555","Adams town, Berkshire County, Massachusetts","8125","23","8007","78","7753","170","73","72","2","4","65","58","0","17","6","10","108","63","2","4","106","63","118","69","65","41","0","17","0","17","0","17","0","17","36","41","17","21","5","10","12","17"
"0600000US2500300975","Alford town, Berkshire County, Massachusetts","431","81","409","80","392","80","0","12","0","12","8","8","0","12","0","12","9","9","0","12","9","9","22","18","22","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500304545","Becket town, Berkshire County, Massachusetts","1941","203","1866","197","1793","197","28","22","0","12","0","12","0","12","7","12","38","46","0","12","38","46","75","54","35","39","0","12","0","12","0","12","0","12","28","27","12","20","12","20","0","12"
"0600000US2500313345","Cheshire town, Berkshire County, Massachusetts","3159","20","3083","64","3042","88","18","27","7","11","0","12","0","12","0","12","16","16","0","12","16","16","76","60","52","51","14","21","7","13","0","12","0","12","0","12","3","7","0","12","3","7"
"0600000US2500314010","Clarksburg town, Berkshire County, Massachusetts","1777","112","1739","118","1707","124","20","28","0","12","0","12","0","12","0","12","12","12","0","12","12","12","38","25","22","19","0","12","0","12","0","12","0","12","1","2","15","13","8","11","7","8"
"0600000US2500316180","Dalton town, Berkshire County, Massachusetts","6610","20","6469","93","6309","132","7","11","23","35","107","85","0","17","0","17","23","32","0","17","23","32","141","93","133","88","0","17","0","17","0","17","0","17","8","18","0","17","0","17","0","17"
"0600000US2500321360","Egremont town, Berkshire County, Massachusetts","1402","188","1320","186","1264","181","15","26","0","12","19","23","3","5","14","21","5","8","0","12","5","8","82","68","44","39","0","12","36","55","0","12","0","12","2","4","0","12","0","12","0","12"
"0600000US2500324120","Florida town, Berkshire County, Massachusetts","808","120","794","117","770","121","0","12","0","12","0","12","0","12","0","12","24","27","0","12","24","27","14","14","0","12","0","12","0","12","0","12","0","12","8","12","6","8","0","12","6","8"
"0600000US2500326815","Great Barrington town, Berkshire County, Massachusetts","6901","23","6464","207","5921","258","257","122","6","13","191","215","0","17","14","21","75","54","0","17","75","54","437","206","257","163","2","5","0","17","0","17","0","17","178","151","0","17","0","17","0","17"
"0600000US2500328180","Hancock town, Berkshire County, Massachusetts","599","98","594","98","560","93","7","7","0","12","25","18","0","12","0","12","2","5","0","12","2","5","5","7","0","12","1","2","0","12","0","12","0","12","2","3","2","5","0","12","2","5"
"0600000US2500330315","Hinsdale town, Berkshire County, Massachusetts","1837","162","1817","161","1797","165","0","12","0","12","0","12","4","7","0","12","16","18","0","12","16","18","20","34","0","12","0","12","0","12","0","12","0","12","5","9","15","25","15","25","0","12"
"0600000US2500334340","Lanesborough town, Berkshire County, Massachusetts","2973","16","2973","16","2866","65","55","53","0","12","33","36","0","12","0","12","19","26","0","12","19","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500334655","Lee town, Berkshire County, Massachusetts","5742","16","5664","72","5144","327","111","100","9","15","185","122","0","17","190","291","25","31","0","17","25","31","78","68","42","48","3","6","0","17","0","17","0","17","33","37","0","17","0","17","0","17"
"0600000US2500334970","Lenox town, Berkshire County, Massachusetts","4963","23","4658","154","4432","181","138","70","0","12","31","47","0","12","0","12","57","47","18","28","39","39","305","151","122","88","21","32","12","19","0","12","0","12","119","127","31","36","16","27","15","25"
"0600000US2500342460","Monterey town, Berkshire County, Massachusetts","774","143","767","141","750","139","3","7","0","12","3","7","0","12","11","13","0","12","0","12","0","12","7","6","5","6","0","12","0","12","0","12","0","12","0","12","2","4","0","12","2","4"
"0600000US2500343300","Mount Washington town, Berkshire County, Massachusetts","148","32","146","32","138","32","0","12","4","6","2","3","1","2","0","12","1","3","0","12","1","3","2","3","2","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500344385","New Ashford town, Berkshire County, Massachusetts","299","60","283","59","283","59","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","17","0","12","0","12","0","12","0","12","0","12","10","10","6","9","6","9","0","12"
"0600000US2500345420","New Marlborough town, Berkshire County, Massachusetts","1544","194","1476","168","1440","166","21","20","0","12","5","7","6","10","0","12","4","6","0","12","4","6","68","53","65","53","0","12","0","12","0","12","0","12","3","4","0","12","0","12","0","12"
"0600000US2500346225","North Adams city, Berkshire County, Massachusetts","12959","33","12109","283","11146","368","210","66","15","24","133","85","23","31","5","10","577","273","0","19","577","273","850","281","353","200","11","17","32","44","0","19","0","19","350","173","104","82","73","70","31","40"
"0600000US2500351580","Otis town, Berkshire County, Massachusetts","1393","181","1372","184","1353","182","0","12","5","7","0","12","0","12","0","12","14","12","0","12","14","12","21","20","21","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500353050","Peru town, Berkshire County, Massachusetts","823","100","801","94","790","91","2","3","0","12","0","12","0","12","0","12","9","10","0","12","9","10","22","22","2","3","2","4","0","12","0","12","0","12","0","12","18","20","14","18","4","5"
"0600000US2500353960","Pittsfield city, Berkshire County, Massachusetts","42766","37","39875","379","35619","502","1737","340","55","45","860","238","36","48","94","105","1474","355","11","14","1463","355","2891","373","1514","397","168","132","26","37","0","26","0","26","879","340","304","159","105","76","199","139"
"0600000US2500356795","Richmond town, Berkshire County, Massachusetts","1489","115","1482","114","1424","109","9","8","2","3","21","17","0","12","0","12","26","16","0","12","26","16","7","6","5","7","0","12","0","12","0","12","0","12","0","12","2","3","2","3","0","12"
"0600000US2500359665","Sandisfield town, Berkshire County, Massachusetts","891","125","872","126","845","124","8","10","0","12","3","5","0","12","0","12","16","12","0","12","16","12","19","13","14","13","0","12","0","12","0","12","0","12","5","6","0","12","0","12","0","12"
"0600000US2500360225","Savoy town, Berkshire County, Massachusetts","680","94","658","93","585","72","57","51","2","3","0","12","0","12","0","12","14","17","0","12","14","17","22","18","19","17","2","4","0","12","0","12","0","12","1","4","0","12","0","12","0","12"
"0600000US2500361065","Sheffield town, Berkshire County, Massachusetts","3160","15","3089","79","3076","84","0","12","5","13","0","12","0","12","8","20","0","12","0","12","0","12","71","77","71","77","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500367595","Stockbridge town, Berkshire County, Massachusetts","1795","314","1747","317","1576","221","87","118","0","12","40","46","0","12","0","12","44","44","0","12","44","44","48","43","10","17","0","12","9","12","0","12","0","12","29","39","0","12","0","12","0","12"
"0600000US2500371095","Tyringham town, Berkshire County, Massachusetts","474","119","443","76","438","75","2","4","0","12","3","4","0","12","0","12","0","12","0","12","0","12","31","89","18","43","0","12","0","12","0","12","0","12","13","47","0","12","0","12","0","12"
"0600000US2500373335","Washington town, Berkshire County, Massachusetts","502","75","497","73","452","67","23","31","6","7","8","12","0","12","0","12","8","8","0","12","8","8","5","9","5","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500377990","West Stockbridge town, Berkshire County, Massachusetts","1084","138","1046","136","961","140","51","69","2","3","17","18","5","8","0","12","10","10","1","2","9","10","38","35","4","5","0","12","13","18","0","12","0","12","21","31","0","12","0","12","0","12"
"0600000US2500379985","Williamstown town, Berkshire County, Massachusetts","7514","20","7053","142","5942","260","376","131","50","38","467","105","0","17","17","17","201","86","17","24","184","80","461","138","186","67","9","14","10","13","10","14","0","17","112","49","134","123","19","14","115","122"
"0600000US2500380685","Windsor town, Berkshire County, Massachusetts","862","106","853","105","820","99","0","12","0","12","12","15","0","12","0","12","21","34","0","12","21","34","9","9","9","9","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500500000","County subdivisions not defined, Bristol County, Massachusetts","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0600000US2500500520","Acushnet town, Bristol County, Massachusetts","10529","25","10171","257","9355","382","7","12","0","19","207","286","0","19","330","248","272","148","91","86","181","124","358","257","309","238","0","19","0","19","0","19","0","19","33","51","16","26","16","26","0","19"
"0600000US2500502690","Attleboro city, Bristol County, Massachusetts","44789","41","41837","651","37274","942","1790","595","24","34","1868","430","28","47","140","147","713","263","119","84","594","246","2952","652","2180","599","202","277","0","26","0","26","8","14","524","300","38","31","17","19","21","26"
"0600000US2500505280","Berkley town, Bristol County, Massachusetts","6730","20","6723","29","6518","155","5","9","0","17","0","17","0","17","89","94","111","128","0","17","111","128","7","11","5","8","0","17","0","17","0","17","0","17","2","4","0","17","0","17","0","17"
"0600000US2500516425","Dartmouth town, Bristol County, Massachusetts","34204","30","33157","297","30489","523","1006","224","6","12","848","312","0","26","106","84","702","218","83","58","619","212","1047","293","520","177","76","46","0","26","0","26","0","26","423","269","28","33","21","28","7","15"
"0600000US2500516950","Dighton town, Bristol County, Massachusetts","7730","48","7696","58","7113","368","224","215","0","17","0","17","52","85","202","280","105","101","90","91","15","31","34","39","15","23","13","28","0","17","0","17","0","17","6","12","0","17","0","17","0","17"
"0600000US2500520100","Easton town, Bristol County, Massachusetts","24621","30","23881","259","21688","575","1025","478","10","15","608","233","0","23","272","231","278","112","19","27","259","109","740","258","567","217","21","28","0","23","0","23","0","23","116","89","36","39","17","22","19","32"
