,NAME,num_eviction,poverty_rate
0,7317.0,59,31.0
1,7304.01,51,11.6
2,6421.0,50,6.6
3,3840.02,48,2.6
4,3835.01,44,8.0
5,7319.0,40,25.2
6,7320.01,35,65.2
7,7313.0,31,30.4
8,6511.0,29,18.8
9,6402.0,29,24.5
10,6527.0,28,25.2
11,7324.0,27,15.4
12,4134.02,26,3.5
13,3214.0,25,1.5
14,5423.0,25,18.2
15,7316.0,25,5.2
16,6419.0,24,21.6
17,3521.01,24,10.0
18,7106.0,24,9.4
19,6413.0,23,41.7
20,102.03,23,26.4
21,5109.0,23,54.4
22,6507.0,22,33.9
23,7108.0,22,29.3
24,7314.0,22,30.0
25,7612.0,21,1.2
26,7073.0,21,4.9
27,9002.0,21,16.5
28,7312.03,21,16.4
29,2516.0,20,17.8
30,1404.0,20,14.7
31,7107.0,20,26.2
32,3507.0,20,23.2
33,3216.0,20,5.7
34,4223.02,19,2.5
35,6411.01,19,24.2
36,6412.0,19,19.4
37,9001.0,19,33.9
38,6414.0,18,15.8
39,7315.0,18,23.8
40,7325.0,18,27.6
41,6526.0,18,23.7
42,2061.0,18,32.3
43,7105.0,18,18.1
44,7441.02,18,10.1
45,6138.0,17,20.2
46,3831.02,17,23.6
47,5108.0,17,10.1
48,6418.0,17,20.1
49,6410.0,17,23.6
50,6405.0,17,15.2
51,5021.02,16,9.0
52,6409.01,16,18.8
53,7329.01,16,17.1
54,4191.0,16,2.2
55,7311.01,16,28.3
56,7310.02,16,9.5
57,7326.0,16,18.6
58,7327.0,16,18.4
59,7318.0,15,31.8
60,7573.0,15,20.5
61,6420.0,15,36.3
62,7330.0,15,20.6
63,150.02,15,2.8
64,7543.0,15,4.4
65,915.0,14,16.6
66,7544.0,14,2.5
67,7305.0,14,20.5
68,2501.0,14,24.5
69,8012.0,14,45.3
70,3213.0,14,2.4
71,6406.0,14,16.4
72,3834.0,13,8.3
73,6425.0,13,3.1
74,9353.0,13,14.5
75,8023.0,13,28.1
76,6417.0,13,10.7
77,6501.02,13,21.1
78,7312.04,13,23.5
79,909.01,13,35.6
80,6506.0,13,24.5
81,7071.0,12,13.7
82,6519.0,12,19.7
83,6510.01,12,12.7
84,7322.03,12,18.7
85,7110.0,12,14.6
86,7323.02,12,22.7
87,1010.01,12,15.0
88,6505.0,12,13.9
89,913.0,12,15.9
90,6311.0,12,6.7
91,2062.0,12,19.3
92,3119.0,12,31.7
93,3212.0,12,2.0
94,4152.0,12,1.7
95,9213.0,12,13.5
96,153.0,12,21.4
97,3833.0,12,0.0
98,6140.0,11,29.7
99,4224.0,11,0.8
100,4225.01,11,6.1
101,7102.0,11,3.2
102,4180.02,11,6.7
103,902.0,11,38.6
104,5115.0,11,16.8
105,4203.02,11,4.6
106,5302.0,11,15.4
107,2068.0,11,23.9
108,6508.0,11,31.0
109,6512.0,11,23.4
110,8111.01,10,26.5
111,6520.0,10,16.2
112,8021.0,10,15.6
113,8.02,10,7.5
114,8019.02,10,31.9
115,7441.01,10,5.5
116,5442.0,10,2.8
117,1605.02,10,21.6
118,7572.0,10,28.9
119,1005.0,10,19.1
120,6513.0,10,23.5
121,1011.02,10,21.6
122,6422.0,10,24.9
123,2042.0,10,24.0
124,8122.01,10,8.0
125,7092.02,10,13.5
126,7031.0,10,14.2
127,7094.0,10,28.8
128,3501.03,10,1.2
129,3101.0,10,13.1
130,1701.0,10,5.7
131,901.0,10,25.3
132,8122.02,10,6.3
133,3831.01,10,11.3
134,1703.0,9,10.6
135,7121.01,9,3.3
136,8020.0,9,54.8
137,6510.02,9,9.5
138,8019.01,9,50.0
139,8018.0,9,39.8
140,7097.01,9,14.9
141,4135.0,9,7.2
142,6415.0,9,6.1
143,7075.0,9,10.1
144,7096.0,9,7.7
145,1403.0,9,25.1
146,4177.01,9,1.1
147,6514.0,9,22.3
148,7551.0,9,3.8
149,5452.0,9,5.2
150,2069.0,9,16.9
151,7424.02,9,4.1
152,5116.0,9,18.4
153,3112.0,9,7.1
154,7492.0,9,8.1
155,7501.0,9,5.5
156,5107.0,9,4.2
157,5103.0,9,20.6
158,2508.0,9,21.0
159,7033.0,9,6.5
160,3201.04,9,2.2
161,924.0,9,36.5
162,4562.0,8,6.3
163,8001.02,8,21.6
164,8017.0,8,21.0
165,6316.0,8,14.0
166,606.0,8,5.0
167,3103.0,8,20.3
168,3336.0,8,7.2
169,3102.0,8,10.6
170,6509.0,8,23.7
171,3215.0,8,10.5
172,6131.0,8,2.7
173,6111.01,8,8.8
174,3413.0,8,5.9
175,126.02,8,8.4
176,5305.0,8,2.7
177,7101.0,8,14.4
178,921.01,8,22.9
179,3121.0,8,28.8
180,5031.01,8,2.7
181,923.0,8,10.6
182,5021.01,8,7.8
183,4103.0,8,1.5
184,4035.0,8,1.7
185,3426.0,8,8.8
186,7262.0,8,5.3
187,914.0,8,17.4
188,1602.0,8,21.5
189,8118.0,8,32.2
190,6502.01,8,6.8
191,6404.0,8,14.7
192,1003.0,8,23.2
193,6504.0,8,13.3
194,3838.0,8,2.3
195,2071.0,7,11.3
196,3425.0,7,8.9
197,2104.0,7,12.4
198,5401.01,7,4.7
199,3419.02,7,14.8
200,3832.0,7,9.3
201,4123.0,7,1.9
202,3331.0,7,1.8
203,4201.0,7,8.9
204,6408.0,7,8.1
205,3152.0,7,1.2
206,6322.0,7,5.5
207,2601.0,7,16.8
208,5211.01,7,2.5
209,2671.01,7,4.0
210,2609.0,7,14.9
211,2602.0,7,22.5
212,7011.0,7,9.3
213,2060.0,7,13.9
214,801.0,7,18.6
215,1010.02,7,21.3
216,8009.0,7,40.1
217,125.02,7,9.8
218,1402.01,7,6.2
219,1002.0,7,26.1
220,1603.0,7,9.4
221,1605.01,7,11.2
222,8022.0,7,33.7
223,1707.01,7,15.9
224,818.0,7,24.6
225,7092.01,7,6.0
226,815.0,7,30.2
227,811.0,7,8.2
228,7307.0,7,4.1
229,7328.01,7,5.7
230,7542.0,7,15.7
231,7442.0,7,3.5
232,6525.0,7,27.8
233,701.01,7,7.2
234,2058.0,7,21.3
235,916.0,6,20.4
236,5113.01,6,7.6
237,4222.0,6,4.4
238,5112.0,6,8.2
239,1004.0,6,25.9
240,3117.0,6,14.5
241,512.0,6,10.6
242,8004.0,6,19.4
243,5307.0,6,4.3
244,139.0,6,3.8
245,6136.0,6,14.0
246,2523.0,6,10.1
247,904.0,6,24.0
248,5071.04,6,3.4
249,819.0,6,36.7
250,2608.0,6,27.5
251,7304.02,6,16.9
252,7571.0,6,18.0
253,6304.0,6,1.4
254,146.0,6,4.7
255,2512.0,6,21.0
256,3704.0,6,4.3
257,1601.01,6,16.7
258,2056.0,6,21.7
259,8123.0,6,17.8
260,4101.0,6,0.9
261,112.0,6,0.0
262,1604.0,6,13.4
263,8011.01,6,52.5
264,3398.01,6,4.2
265,120.01,6,3.5
266,8211.0,6,8.9
267,4179.01,6,14.9
268,6523.0,6,12.3
269,7231.0,6,5.1
270,8013.0,6,18.9
271,2067.0,6,10.8
272,5102.0,5,4.1
273,5091.02,5,4.0
274,3546.0,5,1.9
275,3523.0,5,11.8
276,7541.0,5,1.7
277,3567.02,5,1.7
278,129.0,5,4.4
279,5104.0,5,18.1
280,406.0,5,3.6
281,406.0,5,1.6
282,405.01,5,4.7
283,7503.0,5,8.6
284,3118.0,5,13.5
285,3515.0,5,14.9
286,413.0,5,10.9
287,3114.0,5,13.0
288,3424.0,5,22.6
289,3501.04,5,17.7
290,7532.0,5,5.7
291,8202.03,5,3.8
292,303.0,5,1.6
293,3825.0,5,0.9
294,133.0,5,0.7
295,4211.0,5,2.9
296,502.0,5,9.4
297,4221.0,5,3.7
298,8014.01,5,38.6
299,138.0,5,5.7
300,3352.0,5,2.1
301,4111.0,5,3.4
302,8026.01,5,13.3
303,8109.01,5,19.6
304,148.0,5,7.7
305,8121.03,5,21.1
306,4421.02,5,1.6
307,4561.02,5,4.3
308,7561.01,5,3.6
309,203.03,5,10.5
310,3414.0,5,6.4
311,3106.02,5,6.8
312,7401.01,5,1.2
313,912.0,5,18.9
314,7322.02,5,6.9
315,6516.0,5,8.5
316,6515.0,5,7.7
317,7074.0,5,1.9
318,919.0,5,16.4
319,920.0,5,13.0
320,7311.02,5,9.4
321,2513.0,5,26.8
322,2511.0,5,28.7
323,1008.0,5,10.1
324,1009.0,5,6.5
325,7303.0,5,11.5
326,5202.01,5,3.5
327,6416.0,5,19.1
328,2021.02,5,3.4
329,1401.02,5,7.5
330,1401.05,5,7.9
331,6424.0,5,5.1
332,7103.0,5,5.9
333,1705.01,5,6.2
334,1705.02,5,12.2
335,7095.02,5,0.8
336,2047.02,5,9.2
337,1802.0,5,2.8
338,6137.0,5,13.3
339,3011.01,5,2.6
340,7391.0,5,3.1
341,2065.0,5,16.7
342,7352.0,5,2.3
343,5211.02,5,7.2
344,704.02,5,28.5
345,5212.01,5,1.2
346,2063.0,5,10.5
347,2682.0,5,8.5
348,705.0,5,18.8
349,2070.0,5,29.0
350,2055.0,5,20.3
351,2604.02,5,4.3
352,7323.01,5,4.2
353,6524.0,5,11.9
354,503.0,5,35.9
355,3836.0,4,4.0
356,9251.0,4,6.5
357,7072.0,4,22.4
358,8110.0,4,3.6
359,3882.0,4,1.8
360,8121.04,4,13.6
361,8132.05,4,3.8
362,7032.0,4,5.4
363,9222.0,4,10.4
364,9011.0,4,2.7
365,8124.03,4,5.7
366,9004.0,4,12.1
367,8201.02,4,18.7
368,6521.0,4,6.6
369,9006.0,4,42.2
370,6533.01,4,2.1
371,6531.01,4,9.3
372,3738.0,4,0.0
373,6518.0,4,42.6
374,5201.0,4,2.8
375,4180.03,4,5.7
376,4112.0,4,0.7
377,6461.03,4,4.0
378,7471.02,4,3.8
379,7392.0,4,6.2
380,5252.03,4,16.7
381,7531.0,4,6.2
382,7372.0,4,6.4
383,7331.02,4,10.5
384,5451.0,4,3.8
385,7328.02,4,12.6
386,5454.0,4,10.6
387,5001.04,4,1.8
388,6301.02,4,9.2
389,7322.01,4,14.4
390,6314.0,4,15.2
391,6315.0,4,12.3
392,7611.0,4,3.9
393,8006.0,4,58.8
394,8008.0,4,51.8
395,4195.0,4,0.4
396,4181.02,4,9.9
397,4180.04,4,11.0
398,7301.0,4,2.3
399,7121.02,4,3.5
400,4178.01,4,9.0
401,4177.02,4,4.7
402,4172.0,4,5.3
403,3514.04,4,0.3
404,1.0,4,10.0
405,3323.0,4,3.7
406,510.0,4,14.1
407,3415.0,4,8.0
408,3412.0,4,9.0
409,3411.02,4,8.7
410,2606.0,4,13.2
411,2607.0,4,5.9
412,3372.01,4,1.4
413,1606.02,4,18.9
414,1801.01,4,14.3
415,2033.02,4,2.4
416,105.0,4,3.3
417,105.0,4,17.5
418,2046.0,4,5.5
419,2663.0,4,0.0
420,3322.0,4,2.3
421,3271.02,4,8.8
422,2107.0,4,16.5
423,3211.0,4,1.7
424,2112.0,4,6.5
425,121.02,4,8.8
426,150.01,4,0.4
427,3104.0,4,15.2
428,3105.0,4,8.9
429,116.0,4,11.9
430,3106.01,4,4.2
431,3125.02,4,0.7
432,3123.0,4,3.2
433,2517.0,4,17.0
434,3113.0,4,8.9
435,7.04,4,0.0
436,1805.0,4,4.4
437,610.0,4,36.3
438,918.0,4,23.1
439,136.0,4,3.7
440,809.0,4,6.8
441,917.0,4,19.0
442,820.0,4,25.8
443,3661.0,3,1.5
444,412.0,3,1.4
445,2082.0,3,7.0
446,6517.0,3,15.1
447,8116.0,3,45.1
448,2525.01,3,5.7
449,6522.0,3,3.2
450,7521.0,3,2.2
451,8113.01,3,4.4
452,7320.02,3,0.0
453,2108.0,3,17.1
454,8111.02,3,19.6
455,4231.0,3,2.8
456,3549.0,3,21.6
457,2064.0,3,8.5
458,8120.01,3,35.9
459,407.02,3,3.9
460,2683.0,3,2.9
461,8002.01,3,13.0
462,903.0,3,37.0
463,8005.0,3,16.8
464,9223.0,3,1.7
465,3334.0,3,8.0
466,6551.0,3,1.7
467,7451.0,3,3.2
468,9009.0,3,5.7
469,4175.02,3,12.6
470,7001.0,3,0.0
471,2045.0,3,2.5
472,4401.0,3,3.0
473,8108.0,3,11.3
474,817.0,3,19.4
475,2505.0,3,20.4
476,9501.0,3,0.0
477,115.0,3,3.6
478,3423.0,3,12.3
479,3502.0,3,15.0
480,2504.0,3,28.9
481,3124.0,3,21.3
482,2506.0,3,10.6
483,2043.0,3,29.4
484,5105.03,3,20.4
485,3514.03,3,1.5
486,2507.0,3,19.5
487,145.0,3,0.8
488,5111.0,3,6.7
489,804.01,3,43.4
490,8025.0,3,12.4
491,6139.02,3,6.3
492,5061.02,3,9.0
493,6442.0,3,0.8
494,2175.0,3,1.9
495,3143.01,3,2.0
496,121.01,3,4.9
497,5011.02,3,0.8
498,2174.0,3,12.4
499,5001.03,3,2.4
500,137.0,3,1.8
501,4571.0,3,6.6
502,6503.0,3,12.7
503,2524.0,3,23.0
504,405.02,3,5.9
505,4431.02,3,1.6
506,407.01,3,10.0
507,2044.0,3,0.8
508,6553.0,3,3.6
509,8125.0,3,7.5
510,8214.0,3,2.4
511,6301.01,3,15.3
512,7291.0,3,2.3
513,7381.0,3,1.4
514,9201.01,3,6.1
515,7241.0,3,0.0
516,3394.0,3,1.7
517,5453.0,3,6.2
518,9121.0,3,0.6
519,3839.01,3,2.1
520,101.0,3,3.7
521,3851.0,3,3.5
522,6141.01,3,5.0
523,7443.0,3,6.4
524,2610.0,3,4.9
525,6102.04,3,2.4
526,8223.0,3,1.7
527,7161.0,3,1.7
528,135.0,3,1.6
529,3685.0,3,7.6
530,3686.0,3,11.8
531,6.02,3,46.0
532,3689.02,3,9.8
533,1101.03,3,11.5
534,7309.01,3,6.7
535,3732.0,3,1.0
536,8224.02,3,8.6
537,3416.0,3,20.2
538,8007.0,3,35.2
539,3652.02,3,1.6
540,6151.0,3,0.0
541,3744.0,3,5.2
542,7373.0,3,0.0
543,7162.0,3,10.5
544,7181.0,3,2.4
545,4001.0,3,2.1
546,1704.0,3,16.9
547,8126.0,3,1.7
548,4151.02,3,5.8
549,8127.01,3,11.2
550,7051.0,3,1.1
551,6313.0,3,1.8
552,5308.01,3,7.6
553,7091.0,3,9.5
554,5114.0,3,18.5
555,103.0,3,18.4
556,9221.0,3,14.5
557,1708.0,3,14.6
558,1707.02,3,8.4
559,1706.01,3,3.6
560,3107.0,3,26.7
561,1606.01,3,8.9
562,134.0,3,1.4
563,7423.0,3,4.9
564,7131.0,3,2.6
565,922.0,3,3.6
566,7402.0,3,3.3
567,8201.01,3,10.0
568,4024.0,3,1.6
569,6321.0,2,3.9
570,6401.0,2,9.2
571,6139.01,2,29.3
572,2532.02,2,9.2
573,6303.0,2,3.4
