,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
0,25,009,202102,1400000US25009202102,25009202102,2021.02,CT,2919051,24048,"POLYGON ((-70.934111 42.490834, -70.91354699999999 42.48593899999999, -70.906594 42.484278, -70.90177899999999 42.485358, -70.90024699999999 42.484945, -70.900651 42.483411, -70.904566 42.480028, -70.908046 42.47798, -70.913849 42.475888, -70.914855 42.475219, -70.915108 42.47505, -70.917154 42.473658, -70.92141099999999 42.470751, -70.92270499999999 42.46953999999999, -70.922974 42.468751, -70.923788 42.470371, -70.92489599999999 42.472578, -70.926462 42.47569, -70.926596 42.475958, -70.931147 42.484964, -70.934111 42.490834))"
1,25,009,205100,1400000US25009205100,25009205100,2051,CT,1826284,92857,"POLYGON ((-70.950858 42.49498, -70.949917 42.49477599999999, -70.949321 42.494578, -70.93545999999999 42.491167, -70.934111 42.490834, -70.931147 42.484964, -70.93175599999999 42.484951, -70.935953 42.481034, -70.939041 42.477294, -70.942364 42.479405, -70.943478 42.480078, -70.94519699999999 42.481127, -70.94621599999999 42.481595, -70.945781 42.483321, -70.947163 42.483922, -70.94922199999999 42.484768, -70.95097699999999 42.484028, -70.950767 42.485432, -70.95093 42.487645, -70.950378 42.487948, -70.951196 42.490696, -70.950858 42.49498))"
2,25,017,339400,1400000US25017339400,25017339400,3394,CT,629016,25734,"POLYGON ((-71.12992199999999 42.413327, -71.126992 42.41663, -71.126121 42.417647, -71.126749 42.418152, -71.12581999999999 42.418886, -71.12499 42.419115, -71.117942 42.419096, -71.117924 42.41739099999999, -71.11825999999999 42.416854, -71.118601 42.416334, -71.119964 42.414279, -71.12007899999999 42.41412, -71.121782 42.411549, -71.123088 42.409608, -71.125404 42.410395, -71.125687 42.409984, -71.12615 42.40926899999999, -71.128101 42.41072, -71.12703999999999 42.412328, -71.12992199999999 42.413327))"
3,25,017,342101,1400000US25017342101,25017342101,3421.01,CT,617841,0,"POLYGON ((-71.04568499999999 42.409924, -71.04567299999999 42.412424, -71.043156 42.413461, -71.04217 42.413302, -71.03867 42.413661, -71.037115 42.41393, -71.03582 42.41466399999999, -71.033401 42.415626, -71.032566 42.415533, -71.033181 42.414206, -71.03344199999999 42.41338, -71.03491 42.41087599999999, -71.037097 42.407315, -71.03774299999999 42.406318, -71.04003 42.407189, -71.041674 42.407792, -71.043795 42.408279, -71.046189 42.408406, -71.04568499999999 42.409924))"
4,25,017,351000,1400000US25017351000,25017351000,3510,CT,668312,0,"POLYGON ((-71.11815899999999 42.388025, -71.117452 42.388386, -71.117085 42.389581, -71.11573799999999 42.391839, -71.11514199999999 42.392783, -71.114898 42.393292, -71.113676 42.39483, -71.11108999999999 42.394013, -71.111243 42.393767, -71.106662 42.392069, -71.10794199999999 42.390203, -71.109409 42.390866, -71.109623 42.387794, -71.108954 42.387462, -71.11064399999999 42.384831, -71.11177499999999 42.384554, -71.112585 42.383458, -71.110643 42.38164, -71.111656 42.381749, -71.112939 42.38285, -71.11471399999999 42.38438499999999, -71.115584 42.385158, -71.11773699999999 42.387556, -71.11815899999999 42.388025))"
5,25,017,352700,1400000US25017352700,25017352700,3527,CT,158002,0,"POLYGON ((-71.10157 42.374334, -71.09947699999999 42.374386, -71.097416 42.37442799999999, -71.093745 42.374251, -71.09146799999999 42.37407899999999, -71.089783 42.373948, -71.087512 42.373402, -71.08786599999999 42.372044, -71.089733 42.37228899999999, -71.09182 42.37256199999999, -71.093279 42.372754, -71.094488 42.372913, -71.095322 42.373015, -71.09711899999999 42.373251, -71.098106 42.373385, -71.10083399999999 42.373748, -71.10157 42.374334))"
6,25,009,206000,1400000US25009206000,25009206000,2060,CT,301857,0,"POLYGON ((-70.968231 42.466234, -70.965926 42.466359, -70.964118 42.466542, -70.962773 42.467505, -70.96003399999999 42.469975, -70.958376 42.46855, -70.96016 42.467089, -70.95819399999999 42.463629, -70.960307 42.463572, -70.965232 42.462581, -70.96557199999999 42.462606, -70.966639 42.465714, -70.9696 42.465422, -70.968231 42.466234))"
7,25,009,206600,1400000US25009206600,25009206600,2066,CT,640977,140727,"POLYGON ((-70.934472 42.468199, -70.93213899999999 42.469209, -70.92489599999999 42.472578, -70.923788 42.470371, -70.922974 42.468751, -70.92228399999999 42.467403, -70.92631999999999 42.463866, -70.9255398112313 42.4630971027297, -70.9267917206023 42.4618268086756, -70.928479 42.462, -70.929886 42.463542, -70.932913 42.465398, -70.934051 42.467077, -70.934472 42.468199))"
8,25,009,210500,1400000US25009210500,25009210500,2105,CT,4544806,153007,"POLYGON ((-70.987145 42.5119, -70.986172 42.511804, -70.98065099999999 42.512989, -70.975424 42.516056, -70.97227699999999 42.515986, -70.97280000000001 42.517101, -70.96686799999999 42.515902, -70.95166999999999 42.519154, -70.93955099999999 42.52161599999999, -70.939205 42.52002299999999, -70.94317699999999 42.517948, -70.94597499999999 42.514639, -70.947502 42.511486, -70.94878299999999 42.510388, -70.949568 42.509381, -70.951842 42.506453, -70.95200199999999 42.505607, -70.952173 42.501343, -70.95233499999999 42.499925, -70.95714 42.496528, -70.959531 42.497834, -70.964584 42.50039599999999, -70.97832099999999 42.507461, -70.98691099999999 42.511774, -70.987145 42.5119))"
9,25,009,217202,1400000US25009217202,25009217202,2172.02,CT,1692412,520611,"POLYGON ((-70.9089 42.556736, -70.908247 42.555829, -70.902323 42.552138, -70.900336 42.551657, -70.89581299999999 42.550565, -70.897772 42.554149, -70.89697799999999 42.554885, -70.891527 42.556265, -70.89220499999999 42.558304, -70.889439 42.560099, -70.88846099999999 42.557873, -70.88884 42.556676, -70.88899499999999 42.555198, -70.88667 42.553005, -70.886967 42.550612, -70.888155 42.549696, -70.889151 42.54625, -70.890951 42.544284, -70.89439399999999 42.540696, -70.89842899999999 42.542907, -70.90275799999999 42.544828, -70.90920799999999 42.546248, -70.908399 42.545558, -70.91239399999999 42.546695, -70.9089 42.556736))"
