,Muni,Eviction Numbers_x,Renter Occupied,Evictions per Rented Households,Median Income,Rent Burden,Renter Occupied Pct
0,Rowe,3,17,0.1764705882352941,63750.0,42.4,9.4
1,Randolph,584,3798,0.15376513954713,82510.0,54.5,32.1
2,Oakham,5,33,0.1515151515151515,88571.0,39.1,4.9
3,Richmond,5,35,0.1428571428571428,92313.0,29.7,5.2
4,Montgomery,1,7,0.1428571428571428,83750.0,35.8,2.4
5,Athol,172,1298,0.1325115562403698,54142.0,36.2,28.0
6,North Adams,293,2371,0.1235765499789118,41471.0,38.7,42.6
7,Rockland,209,1739,0.120184013801035,78011.0,39.8,25.0
8,Pittsfield,852,7379,0.1154627998373763,51411.0,38.7,38.2
9,Carver,45,395,0.1139240506329113,70959.0,36.3,8.8
10,Mashpee,96,852,0.1126760563380281,77019.0,33.0,13.4
11,Fitchburg,777,6958,0.1116700201207243,57207.0,38.8,46.5
12,Princeton,6,55,0.109090909090909,136083.0,23.1,4.4
13,Holbrook,84,776,0.1082474226804123,76055.0,49.6,18.6
14,Brockton,1507,14317,0.1052594817350003,58469.0,51.3,45.0
15,Eastham,23,222,0.1036036036036036,72075.0,34.9,9.3
16,Lunenburg,70,698,0.1002865329512893,103228.0,38.7,16.2
17,Becket,7,70,0.1,73977.0,37.7,8.5
18,Springfield,2983,30095,0.0991194550589799,39432.0,39.8,53.4
19,New Bedford,2282,23255,0.0981294345302085,46321.0,61.0,59.8
20,Bridgewater,226,2309,0.0978778692074491,95675.0,40.5,28.4
21,Braintree,366,3784,0.096723044397463,96522.0,44.3,27.0
22,Fall River,2355,24496,0.0961381450032658,43503.0,49.1,63.7
23,Orange,90,946,0.095137420718816,50795.0,29.6,30.5
24,Warwick,2,22,0.0909090909090909,59167.0,29.6,6.6
25,Salisbury,64,715,0.0895104895104895,81304.0,38.8,18.4
26,Worcester,3743,42026,0.0890639128158758,48139.0,36.9,58.7
27,Framingham,1154,13010,0.0887009992313604,82709.0,32.9,46.1
28,Russell,7,81,0.0864197530864197,73125.0,47.0,14.4
29,Tewksbury,150,1737,0.0863557858376511,102500.0,38.0,14.7
30,Stoughton,254,3073,0.0826553856166612,83519.0,40.1,28.2
31,Marlborough,540,6575,0.0821292775665399,80943.0,29.6,41.8
32,Gardner,318,3949,0.0805267156242086,49679.0,34.0,48.0
33,Sudbury,43,536,0.0802238805970149,191310.0,30.4,8.4
34,Hanover,46,584,0.0787671232876712,127981.0,41.2,11.9
35,Ashby,7,89,0.0786516853932584,97958.0,35.6,7.7
36,Southbridge,292,3801,0.0768218889765851,51270.0,29.5,55.8
37,Lowell,1741,22745,0.0765442954495493,56878.0,45.1,57.7
38,Lakeville,47,616,0.0762987012987013,106633.0,31.4,15.1
39,Holyoke,681,9059,0.0751738602494756,40769.0,48.2,59.3
40,Norton,73,972,0.0751028806584362,111042.0,32.6,14.8
41,Winchendon,80,1066,0.075046904315197,80096.0,37.9,28.2
42,Adams,111,1484,0.0747978436657682,53070.0,43.4,39.6
43,Medfield,41,556,0.0737410071942446,160963.0,35.0,13.1
44,Saugus,149,2022,0.0736894164193867,88667.0,43.2,19.4
45,Belchertown,76,1034,0.0735009671179884,91191.0,28.6,18.6
46,Haverhill,757,10405,0.0727534839019702,69426.0,40.6,42.9
47,Taunton,611,8406,0.0726861765405662,62865.0,42.6,37.6
48,Webster,228,3153,0.0723120837297811,62281.0,27.6,45.4
49,Ashland,85,1182,0.071912013536379,124130.0,26.8,17.4
50,Ware,103,1435,0.0717770034843205,54446.0,35.8,33.0
51,Revere,691,9630,0.071754932502596,62568.0,47.6,50.1
52,Halifax,19,267,0.0711610486891385,92774.0,40.9,9.2
53,Spencer,102,1435,0.0710801393728223,72821.0,37.7,29.4
54,Milford,241,3424,0.0703855140186915,83243.0,34.2,31.0
55,Whitman,113,1612,0.0700992555831265,86570.0,40.2,29.5
56,Seekonk,68,980,0.0693877551020408,90078.0,32.2,16.2
57,Westwood,57,824,0.0691747572815534,160132.0,36.3,14.9
58,Mansfield,163,2378,0.0685449957947855,120613.0,32.4,27.5
59,Berkley,5,73,0.0684931506849315,103182.0,35.4,3.1
60,Oxford,95,1398,0.0679542203147353,76373.0,32.0,26.9
61,Lynn,1205,17962,0.0670860705934751,56181.0,47.6,55.1
62,Lawrence,1194,17911,0.0666629445592094,44613.0,50.7,69.0
63,Hanson,23,347,0.0662824207492795,96693.0,32.5,8.9
64,Chicopee,632,9559,0.0661157024793388,53225.0,39.6,41.4
65,Canton,138,2139,0.064516129032258,105919.0,36.7,23.6
66,Norwood,328,5087,0.0644780813839197,90133.0,38.9,42.5
67,Bellingham,76,1187,0.0640269587194608,101477.0,31.1,18.2
68,Abington,109,1707,0.0638547158758055,99381.0,42.2,26.7
69,Raynham,62,992,0.0625,100938.0,38.9,19.0
70,Bolton,7,113,0.0619469026548672,173024.0,32.2,6.5
71,Northborough,64,1036,0.0617760617760617,128613.0,28.9,19.2
72,Huntington,10,163,0.0613496932515337,63618.0,34.1,17.7
73,Hull,82,1348,0.0608308605341246,88476.0,34.7,28.3
74,Lanesborough,11,181,0.0607734806629834,78315.0,39.0,14.5
75,Sheffield,13,218,0.0596330275229357,86184.0,48.6,15.8
76,Paxton,4,68,0.0588235294117647,120469.0,36.9,4.6
77,Provincetown,21,364,0.0576923076923076,59063.0,31.2,21.4
78,Methuen,290,5049,0.0574371162606456,77484.0,41.4,28.2
79,Duxbury,37,645,0.0573643410852713,128173.0,39.1,11.3
80,Attleboro,312,5465,0.0570905763952424,74962.0,37.0,31.0
81,Westborough,149,2615,0.0569789674952198,112153.0,29.8,37.0
82,West Boylston,23,404,0.0569306930693069,88906.0,35.3,17.3
83,Greenfield,199,3523,0.0564859494748793,50478.0,33.3,43.7
84,Franklin,130,2304,0.0564236111111111,122607.0,30.6,19.3
85,Plymouth,265,4739,0.0559189702468875,90279.0,34.0,20.3
86,Leominster,397,7102,0.0558997465502675,61825.0,36.1,42.2
87,Marshfield,100,1794,0.0557413600891861,102560.0,35.5,18.6
88,Townsend,27,485,0.0556701030927835,91211.0,28.4,13.8
89,Granville,2,36,0.0555555555555555,82885.0,41.5,5.9
90,Marion,21,382,0.0549738219895288,81928.0,30.4,19.7
91,Brookfield,10,185,0.054054054054054,70338.0,31.9,13.2
92,Clarksburg,3,56,0.0535714285714285,67422.0,37.9,7.9
93,Warren,22,412,0.0533980582524271,61653.0,35.0,22.2
94,Peabody,396,7425,0.0533333333333333,73217.0,37.9,34.2
95,Charlemont,5,98,0.0510204081632653,62794.0,33.5,22.2
96,Dracut,125,2461,0.0507923608289313,90273.0,35.6,21.4
97,Rehoboth,20,395,0.050632911392405,116585.0,37.7,9.5
98,Southampton,11,218,0.0504587155963302,104577.0,42.3,9.1
99,Millis,28,559,0.0500894454382826,106164.0,33.9,17.7
100,West Stockbridge,3,60,0.05,79511.0,32.5,13.2
101,Norfolk,7,140,0.05,151279.0,33.2,4.4
102,Chelsea,487,9831,0.0495371783134981,56802.0,55.7,74.1
103,Chelmsford,105,2129,0.0493189290746829,116111.0,29.0,15.7
104,Sherborn,3,61,0.0491803278688524,198681.0,30.4,4.0
105,Cheshire,13,266,0.0488721804511278,70236.0,33.3,18.1
106,Shirley,32,663,0.0482654600301659,76875.0,32.0,27.1
107,Salem,429,8941,0.0479812101554636,68808.0,41.9,48.5
108,West Bridgewater,16,334,0.0479041916167664,97404.0,45.6,13.4
109,North Andover,150,3178,0.0471994965387035,108070.0,33.6,28.6
110,Danvers,144,3067,0.0469514183240952,89250.0,38.0,28.7
111,Pepperell,42,897,0.0468227424749163,104130.0,35.9,20.2
112,Auburn,47,1007,0.0466732869910625,84740.0,31.5,15.1
113,Boylston,14,300,0.0466666666666666,97591.0,27.7,16.7
114,Ashburnham,8,172,0.0465116279069767,95625.0,32.1,8.5
115,Norwell,11,238,0.0462184873949579,157987.0,41.4,6.5
116,Boxford,3,65,0.0461538461538461,184007.0,29.0,2.3
117,Medway,22,478,0.0460251046025104,132823.0,32.4,10.1
118,Westminster,12,261,0.0459770114942528,100972.0,32.4,9.1
119,Ayer,60,1307,0.0459066564651874,92778.0,35.3,36.8
120,Pembroke,45,997,0.0451354062186559,103905.0,37.8,15.2
121,Fairhaven,70,1559,0.0449005772931366,67394.0,45.6,24.4
122,Sharon,33,735,0.0448979591836734,141423.0,34.0,11.6
123,Holliston,20,453,0.0441501103752759,135340.0,26.9,8.6
124,North Reading,30,681,0.0440528634361233,128651.0,28.8,12.3
125,Millbury,62,1408,0.0440340909090909,85781.0,36.0,26.7
126,Swansea,33,750,0.044,86637.0,40.7,11.8
127,West Newbury,6,137,0.0437956204379562,149167.0,45.3,8.2
128,Wrentham,28,642,0.043613707165109,126613.0,32.6,15.1
129,Hopkinton,46,1071,0.0429505135387488,157353.0,26.7,17.0
130,West Springfield,221,5193,0.0425572886578085,53053.0,35.4,41.2
131,North Brookfield,21,495,0.0424242424242424,78750.0,33.5,26.9
132,Walpole,67,1583,0.0423246999368288,119846.0,33.5,18.1
133,Kingston,38,900,0.0422222222222222,96104.0,40.8,18.2
134,Andover,101,2393,0.0422064354366903,151334.0,31.1,18.7
135,Holden,33,782,0.0421994884910485,108964.0,29.6,11.1
136,Littleton,18,427,0.0421545667447306,123413.0,32.8,11.7
137,Palmer,58,1382,0.0419681620839363,64651.0,33.6,28.3
138,Chatham,19,454,0.0418502202643171,83839.0,36.7,15.7
139,Peru,1,24,0.0416666666666666,69219.0,32.4,6.9
140,Otis,4,96,0.0416666666666666,87868.0,37.5,13.9
141,Savoy,1,24,0.0416666666666666,58125.0,46.4,8.2
142,Blandford,1,24,0.0416666666666666,76083.0,44.3,5.0
143,Brewster,27,650,0.0415384615384615,75321.0,28.7,15.5
144,Avon,17,410,0.0414634146341463,85200.0,39.5,26.1
145,Mendon,9,220,0.0409090909090909,125945.0,43.0,10.7
146,Hopedale,14,344,0.0406976744186046,108294.0,29.5,15.8
147,Uxbridge,40,984,0.040650406504065,108060.0,32.9,19.6
148,Everett,397,9836,0.0403619357462383,65528.0,43.4,61.4
149,Cohasset,28,694,0.0403458213256484,145679.0,31.2,22.5
150,Northfield,8,199,0.0402010050251256,75875.0,26.4,16.3
151,Holland,5,125,0.04,82179.0,36.8,12.5
152,Wareham,104,2602,0.0399692544196771,65825.0,35.1,27.4
153,Amesbury,85,2150,0.0395348837209302,82468.0,35.1,29.8
154,Quincy,870,22158,0.0392634714324397,77562.0,38.7,53.8
155,Westport,44,1122,0.0392156862745098,79895.0,51.0,17.2
156,Wilmington,44,1129,0.0389725420726306,125922.0,33.5,14.2
157,Malden,529,13584,0.0389428739693757,65975.0,38.6,59.0
158,Needham,67,1738,0.0385500575373993,165547.0,29.8,16.1
159,Wendell,3,78,0.0384615384615384,53875.0,31.6,20.6
160,Sutton,13,339,0.0383480825958702,104911.0,38.8,9.9
161,Hardwick,15,392,0.0382653061224489,56058.0,39.4,32.3
162,Sterling,10,263,0.0380228136882129,121458.0,29.2,9.5
163,Dover,5,132,0.0378787878787878,250000.0,38.6,6.5
164,Westfield,189,5024,0.0376194267515923,67862.0,35.7,32.9
165,Rochester,5,133,0.037593984962406,104041.0,41.2,6.9
166,Clinton,98,2612,0.0375191424196018,67634.0,32.6,46.7
167,Nantucket,41,1095,0.0374429223744292,107717.0,34.0,29.5
168,Phillipston,2,54,0.037037037037037,80208.0,31.7,8.4
169,Edgartown,12,325,0.0369230769230769,78902.0,44.5,22.4
170,Southborough,13,354,0.0367231638418079,146554.0,33.1,10.0
171,Beverly,238,6494,0.0366492146596858,80586.0,42.1,39.5
172,Sandwich,26,711,0.0365682137834036,98827.0,32.7,9.1
173,Granby,12,335,0.035820895522388,96979.0,30.8,12.9
174,Scituate,33,925,0.0356756756756756,128864.0,43.9,12.8
175,Wenham,5,141,0.0354609929078014,128056.0,41.6,10.0
176,Plainville,37,1055,0.0350710900473933,96066.0,32.7,28.8
177,Dudley,44,1257,0.0350039777247414,69071.0,36.4,32.2
178,Harwich,29,831,0.0348977135980746,76822.0,32.8,15.3
179,Brimfield,6,173,0.0346820809248554,70063.0,40.2,12.0
180,Billerica,102,2942,0.0346702923181509,105343.0,35.7,19.7
181,Bedford,48,1386,0.0346320346320346,128354.0,26.1,26.1
