,Muni,Evictions per Rented Households,Eviction Numbers,Estimate!!Total:,Estimate!!Total:!!Not Hispanic or Latino:,Estimate!!Total:!!Not Hispanic or Latino:!!White alone,Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Estimate!!Total:!!Hispanic or Latino:,Estimate!!Total:!!Hispanic or Latino:!!White alone,Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
0,Worcester,0.089063913,3743,185143,144633,102148,22594,712,13675,111,1096,4297,426,3871,40510,25894,2010,412,20,0,9131,3043,1240,1803
1,Springfield,0.099119455,2983,154139,84838,48145,28543,312,3927,11,417,3483,204,3279,69301,49469,3735,366,230,0,12033,3468,1210,2258
2,Fall River,0.096138145,2355,89388,79968,69030,4729,124,1680,0,741,3664,249,3415,9420,3025,509,0,45,43,5485,313,111,202
3,New Bedford,0.098129435,2282,95239,75413,57575,6051,27,1476,25,6820,3439,1528,1911,19826,2908,585,51,0,0,14755,1527,969,558
4,Lowell,0.076544295,1741,111306,91174,54254,8002,699,25568,113,580,1958,216,1742,20132,13595,932,155,79,52,4462,857,312,545
5,Brockton,0.105259482,1507,95594,84993,29407,42122,394,1882,0,8767,2421,1140,1281,10601,5120,1460,52,40,0,2985,944,657,287
6,Boston,0.007945704,1392,684379,548622,304524,155096,1376,65613,365,5278,16370,1849,14521,135757,56931,17555,641,594,53,40240,19743,2933,16810
7,Lynn,0.067086071,1205,93743,53648,33635,10164,168,6750,92,680,2159,218,1941,40095,11893,2638,189,75,0,21273,4027,1287,2740
8,Lawrence,0.066662945,1194,79942,15479,11856,1775,0,1321,0,350,177,14,163,64463,30376,2755,249,42,0,28728,2313,914,1399
9,Framingham,0.088700999,1154,72308,60660,45534,4504,258,5635,65,3049,1615,297,1318,11648,4720,784,100,63,0,5724,257,86,171
10,Quincy,0.039263471,870,94207,91299,55540,4689,108,28532,146,634,1650,97,1553,2908,2041,146,14,70,0,508,129,48,81
11,Pittsfield,0.1154628,852,42766,39875,35619,1737,55,860,36,94,1474,11,1463,2891,1514,168,26,0,0,879,304,105,199
12,Fitchburg,0.11167002,777,40702,28990,25366,1482,121,942,0,45,1034,63,971,11712,7337,536,48,14,0,2840,937,511,426
13,Haverhill,0.072753484,757,63533,48811,44300,1941,42,845,0,111,1572,87,1485,14722,6714,369,22,1,23,6716,877,181,696
14,Revere,0.071754933,691,53692,35650,28634,2673,32,2596,0,886,829,0,829,18042,13299,269,108,13,0,2323,2030,518,1512
15,Holyoke,0.07517386,681,40241,18537,16636,1162,78,239,0,3,419,0,419,21704,18582,664,55,35,35,1721,612,141,471
16,Chicopee,0.066115702,632,55421,43801,39456,2296,56,1306,0,29,658,10,648,11620,8100,560,0,0,0,2432,528,398,130
17,Cambridge,0.020533141,627,116632,105566,69795,11576,145,19352,116,423,4159,302,3857,11066,7316,936,47,69,11,1732,955,362,593
18,Taunton,0.072686177,611,57124,51958,42826,4789,12,1050,0,1673,1608,157,1451,5166,2797,237,3,9,0,1416,704,462,242
19,Randolph,0.15376514,584,34064,31054,10005,14890,27,4472,12,857,791,137,654,3010,929,339,0,38,0,1388,316,41,275
20,Marlborough,0.082129278,540,39736,33751,27491,1522,0,2169,0,1490,1079,364,715,5985,2396,3,39,0,49,2936,562,314,248
21,Malden,0.038942874,529,60984,55817,28672,10849,20,13696,14,774,1792,208,1584,5167,3739,404,0,36,0,850,138,59,79
22,Chelsea,0.049537178,487,39992,13198,8251,2147,0,1489,0,177,1134,48,1086,26794,11093,414,21,115,0,3171,11980,308,11672
23,Salem,0.04798121,429,43252,35542,31076,2040,144,1085,0,126,1071,96,975,7710,3100,815,127,0,0,3103,565,214,351
24,Somerville,0.018962351,413,80906,70911,55183,4534,112,8246,5,714,2117,92,2025,9995,6113,451,47,57,0,2003,1324,193,1131
25,Leominster,0.055899747,397,41606,33930,28820,2417,61,1192,0,292,1148,40,1108,7676,4862,388,18,71,0,1986,351,74,277
26,Everett,0.040361936,397,46118,33089,20125,7625,10,3754,5,655,915,121,794,13029,6537,690,490,0,42,4019,1251,168,1083
27,Peabody,0.053333333,396,52906,47672,43772,1745,179,590,0,238,1148,398,750,5234,3791,256,13,0,0,870,304,151,153
28,Braintree,0.096723044,366,37220,36443,29552,993,42,5149,0,152,555,0,555,777,461,110,21,0,0,133,52,33,19
29,Waltham,0.028753714,329,62777,54241,41364,4205,141,7309,0,58,1164,70,1094,8536,3782,245,126,12,0,3133,1238,276,962
30,Norwood,0.064478081,328,29306,27322,23574,1670,0,1581,0,91,406,6,400,1984,1153,426,0,0,0,318,87,34,53
31,Gardner,0.080526716,318,20610,18698,16742,477,11,651,0,60,757,8,749,1912,1180,109,0,0,0,505,118,53,65
32,Attleboro,0.057090576,312,44789,41837,37274,1790,24,1868,28,140,713,119,594,2952,2180,202,0,0,8,524,38,17,21
33,North Adams,0.12357655,293,12959,12109,11146,210,15,133,23,5,577,0,577,850,353,11,32,0,0,350,104,73,31
34,Southbridge,0.076821889,292,16887,11339,10626,323,7,63,0,19,301,6,295,5548,3247,252,42,9,0,1600,398,147,251
35,Methuen,0.057437116,290,50282,35445,30602,1591,9,2048,0,174,1021,35,986,14837,6885,567,126,27,0,6299,933,233,700
36,Medford,0.026501943,266,57637,53908,40981,5263,27,5643,21,294,1679,173,1506,3729,2313,61,47,64,0,447,797,90,707
37,Plymouth,0.05591897,265,60024,58587,54960,1035,39,895,0,515,1143,158,985,1437,850,108,25,0,0,293,161,37,124
38,Stoughton,0.082655386,254,28639,27548,20472,4230,116,1439,0,384,907,147,760,1091,515,64,0,0,0,421,91,0,91
39,Milford,0.070385514,241,28883,24835,21321,656,20,797,0,1470,571,205,366,4048,2150,19,5,0,0,1733,141,83,58
40,Beverly,0.036649215,238,41885,39740,37088,686,40,881,5,41,999,104,895,2145,1471,201,0,22,23,313,115,16,99
41,Webster,0.072312084,228,16973,14924,13575,787,26,218,0,88,230,0,230,2049,690,48,0,0,0,1108,203,134,69
42,Bridgewater,0.097877869,226,27436,26361,22905,2185,51,580,15,195,430,42,388,1075,391,175,18,12,0,344,135,0,135
43,West Springfield,0.042557289,221,28609,25579,22782,803,70,1158,0,15,751,44,707,3030,2124,113,21,0,0,618,154,108,46
44,Weymouth,0.026826776,210,56734,54581,46272,3108,35,3828,0,562,776,13,763,2153,1534,81,29,52,0,319,138,69,69
45,Rockland,0.120184014,209,17953,17392,16421,475,0,101,0,235,160,21,139,561,455,58,0,0,0,33,15,0,15
46,Woburn,0.033571197,207,40304,38465,31195,2193,0,3555,0,627,895,140,755,1839,924,204,0,0,0,567,144,21,123
47,Greenfield,0.056485949,199,17375,16044,15094,333,7,220,0,14,376,0,376,1331,639,58,6,7,0,569,52,32,20
48,Westfield,0.037619427,189,41449,37491,35235,598,46,1167,0,9,436,17,419,3958,3042,85,0,0,71,692,68,24,44
49,Athol,0.132511556,172,11713,11076,10558,75,11,42,0,52,338,48,290,637,259,54,0,0,0,294,30,30,0
50,Mansfield,0.068544996,163,23947,22977,20686,466,0,1442,0,80,303,0,303,970,788,93,52,0,0,24,13,0,13
51,Tewksbury,0.086355786,150,31098,30408,28021,638,6,1102,0,123,518,10,508,690,512,99,0,0,0,78,1,1,0
52,North Andover,0.047199497,150,30842,28510,25018,944,8,1883,0,18,639,0,639,2332,1459,163,14,0,0,623,73,26,47
